Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\TSTypeGen.csproj,,,Microsoft.Extensions.FileSystemGlobbing 8.0.0,,,,,"Microsoft.Extensions.FileSystemGlobbing, 8.0.0  Recommendation:  Remove Microsoft.Extensions.FileSystemGlobbing, and replace with new package Microsoft.Extensions.FileSystemGlobbing 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\TSTypeGen.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\TSTypeGen.csproj,,,System.CodeDom 8.0.0,,,,,"System.CodeDom, 8.0.0  Recommendation:  Remove System.CodeDom, and replace with new package System.CodeDom 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\TSTypeGen.csproj,,,System.Reflection.MetadataLoadContext 8.0.1,,,,,"System.Reflection.MetadataLoadContext, 8.0.1  Recommendation:  Remove System.Reflection.MetadataLoadContext, and replace with new package System.Reflection.MetadataLoadContext 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\TSTypeGen.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,26,8,T:System.Reflection.MetadataLoadContext,,,,,"public override Assembly Resolve(MetadataLoadContext context, AssemblyName assemblyName)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,37,24,M:System.Reflection.MetadataLoadContext.LoadFromAssemblyPath(System.String),,,,,asm = context.LoadFromAssemblyPath(candidates.First().FullName);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,28,12,T:System.Reflection.PathAssemblyResolver,,,,,"var asm = _pathAssemblyResolver.Resolve(context, assemblyName);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,28,12,"M:System.Reflection.PathAssemblyResolver.Resolve(System.Reflection.MetadataLoadContext,System.Reflection.AssemblyName)",,,,,"var asm = _pathAssemblyResolver.Resolve(context, assemblyName);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,20,8,T:System.Reflection.PathAssemblyResolver,,,,,"public CustomMetadataAssemblyResolver(PathAssemblyResolver pathAssemblyResolver, ICollection<string> packagesDirectories)         {             _pathAssemblyResolver = pathAssemblyResolver;             _nugetCaches = packagesDirectories?.Count > 0 ? packagesDirectories.Select(d => new DirectoryInfo(d)).ToList() : GetCaches();         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,22,12,T:System.Reflection.PathAssemblyResolver,,,,,_pathAssemblyResolver = pathAssemblyResolver;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,20,8,M:System.Reflection.MetadataAssemblyResolver.#ctor,,,,,"public CustomMetadataAssemblyResolver(PathAssemblyResolver pathAssemblyResolver, ICollection<string> packagesDirectories)         {             _pathAssemblyResolver = pathAssemblyResolver;             _nugetCaches = packagesDirectories?.Count > 0 ? packagesDirectories.Select(d => new DirectoryInfo(d)).ToList() : GetCaches();         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,13,46,T:System.Reflection.PathAssemblyResolver,,,,,_pathAssemblyResolver
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,20,8,T:System.Reflection.PathAssemblyResolver,,,,,"public CustomMetadataAssemblyResolver(PathAssemblyResolver pathAssemblyResolver, ICollection<string> packagesDirectories)         {             _pathAssemblyResolver = pathAssemblyResolver;             _nugetCaches = packagesDirectories?.Count > 0 ? packagesDirectories.Select(d => new DirectoryInfo(d)).ToList() : GetCaches();         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,22,12,T:System.Reflection.PathAssemblyResolver,,,,,_pathAssemblyResolver = pathAssemblyResolver;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,20,8,M:System.Reflection.MetadataAssemblyResolver.#ctor,,,,,"public CustomMetadataAssemblyResolver(PathAssemblyResolver pathAssemblyResolver, ICollection<string> packagesDirectories)         {             _pathAssemblyResolver = pathAssemblyResolver;             _nugetCaches = packagesDirectories?.Count > 0 ? packagesDirectories.Select(d => new DirectoryInfo(d)).ToList() : GetCaches();         }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\CustomMetadataAssemblyResolver.cs,11,50,T:System.Reflection.MetadataAssemblyResolver,,,,,MetadataAssemblyResolver
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\TSTypeGen\TSTypeGen.csproj,File,src\TSTypeGen\Processor.cs,196,28,M:System.Reflection.MetadataLoadContext.LoadFromAssemblyPath(System.String),,,,,var assembly = mlc.LoadFromAssemblyPath(dll);
